Loading Hatespeech Dataset...
Loading cached embeddings from hatespeech_embeddings.npy
Running Exp A: Low Deferral (fc=5.0)...
Epoch [0][0/18] Loss 1.3631 | Acc 31.00
Epoch [0][10/18] Loss 0.7136 | Acc 74.13
Epoch [1][0/18] Loss 0.4548 | Acc 83.90
Epoch [1][10/18] Loss 0.4242 | Acc 84.62
Epoch [2][0/18] Loss 0.3978 | Acc 84.30
Epoch [2][10/18] Loss 0.3848 | Acc 85.91
Epoch [3][0/18] Loss 0.3795 | Acc 85.20
Epoch [3][10/18] Loss 0.3706 | Acc 86.17
Epoch [4][0/18] Loss 0.3707 | Acc 86.00
Epoch [4][10/18] Loss 0.3618 | Acc 86.54
Epoch [5][0/18] Loss 0.3647 | Acc 86.30
Epoch [5][10/18] Loss 0.3558 | Acc 86.95
Epoch [6][0/18] Loss 0.3608 | Acc 86.40
Epoch [6][10/18] Loss 0.3515 | Acc 87.14
Epoch [7][0/18] Loss 0.3579 | Acc 86.40
Epoch [7][10/18] Loss 0.3480 | Acc 87.32
Epoch [8][0/18] Loss 0.3554 | Acc 86.40
Epoch [8][10/18] Loss 0.3452 | Acc 87.37
Epoch [9][0/18] Loss 0.3534 | Acc 86.70
Epoch [9][10/18] Loss 0.3428 | Acc 87.47
Epoch [10][0/18] Loss 0.3516 | Acc 86.60
Epoch [10][10/18] Loss 0.3408 | Acc 87.51
Epoch [11][0/18] Loss 0.3500 | Acc 86.70
Epoch [11][10/18] Loss 0.3390 | Acc 87.55
Epoch [12][0/18] Loss 0.3486 | Acc 87.00
Epoch [12][10/18] Loss 0.3374 | Acc 87.69
Epoch [13][0/18] Loss 0.3474 | Acc 87.10
Epoch [13][10/18] Loss 0.3360 | Acc 87.69
Epoch [14][0/18] Loss 0.3462 | Acc 87.10
Epoch [14][10/18] Loss 0.3348 | Acc 87.72
Epoch [15][0/18] Loss 0.3451 | Acc 87.20
Epoch [15][10/18] Loss 0.3337 | Acc 87.74
Epoch [16][0/18] Loss 0.3441 | Acc 87.30
Epoch [16][10/18] Loss 0.3326 | Acc 87.82
Epoch [17][0/18] Loss 0.3431 | Acc 87.20
Epoch [17][10/18] Loss 0.3317 | Acc 87.75
Epoch [18][0/18] Loss 0.3422 | Acc 87.30
Epoch [18][10/18] Loss 0.3308 | Acc 87.77
